0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.6,bonev,320,391,165,3,200,,,
0.75,Destroy,,,,,,,,
0,bone,320,304,150,0,0,150,0,0
2,GasterBlaster,1,640,480,449,366,180,0.4,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.4,0.26666
4,GasterBlaster,1,0,0,189,246,0,0.4,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.4,0.26666
4,GasterBlaster,1,640,480,379,446,270,0.4,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.4,0.26666
4,GasterBlaster,1,640,480,449,366,180,0.4,0.26666
0,GasterBlaster,1,0,0,189,246,0,0.4,0.26666
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2,EndAttack,,,,,,,,
0,killbone,,,,,,,,
