0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,BonevRepeat,508,251,30,2,200,20,150,
0,BonevRepeat,133,360,30,0,200,20,150,
1,GasterBlaster,1,640,240,600,306,180,0.666,0.2666
2,GasterBlaster,1,640,240,600,306,180,0.666,0.2666
2,sansbody,handup,,,,,,,
0,SansSlam,3,,,,,,,
0.2,SansAnimation,Idle,,,,,,,
2,GasterBlaster,1,640,240,600,306,180,0.666,0.2666
2,GasterBlaster,1,640,240,600,306,180,0.666,0.2666
2,GasterBlaster,1,640,240,600,306,180,0.666,0.2666
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2,EndAttack,,,,,,,,
